no_bairro;co_municipio;co_cep;no_entidade;in_internet_alunos;qt_prof_assist_social;qt_doc_bas;qt_doc_fund;qt_doc_med;qt_doc_esp;qt_tur_bas;qt_tur_fund;qt_tur_med;qt_tur_esp;co_entidade
PAMPULHA                                          ;3106200                                                                                             ;31270901            ;UFMG - COLEGIO TECNICO                                                                              ;0                                                                                                   ;1;60;0;59;29;47;0;40;3;31000019                                                                                            
MADRE GERTRUDES                                   ;3106200                                                                                             ;30518320            ;EE AARAO REIS                                                                                       ;0                                                                                                   ;0;37;33;0;26;24;20;0;10;31000027                                                                                            
FUNCIONARIOS                                      ;3106200                                                                                             ;30130141            ;EE BUENO BRANDAO                                                                                    ;1                                                                                                   ;0;41;41;0;17;37;37;0;13;31000035                                                                                            
JARDIM INCONFIDENCIA                              ;3106200                                                                                             ;30820190            ;EE GUIA LOPES                                                                                       ;1                                                                                                   ;0;23;19;12;17;12;9;3;4;31000051                                                                                            
CACHOEIRINHA                                      ;3106200                                                                                             ;31150310            ;EE PERO VAZ DE CAMINHA                                                                              ;0                                                                                                   ;0;18;18;0;14;9;9;0;4;31000060                                                                                            
SANTA CRUZ                                        ;3106200                                                                                             ;31155290            ;EE MAJOR DELFINO DE PAULA RICARDO                                                                   ;1                                                                                                   ;0;20;20;0;16;13;13;0;6;31000078                                                                                            
VILA PARIS                                        ;3106200                                                                                             ;30380640            ;EE PROFESSOR JOSE MESQUITA DE CARVALHO                                                              ;1                                                                                                   ;0;66;45;30;44;48;27;15;14;31000086                                                                                            
VILA OESTE                                        ;3106200                                                                                             ;30532060            ;EE SANDRA RISOLETA DE LIMA HAUCK                                                                    ;1                                                                                                   ;0;10;3;0;10;6;2;0;6;31000108                                                                                            
CABANA                                            ;3106200                                                                                             ;30512060            ;EE CABANA DO PAI TOMAS                                                                              ;0                                                                                                   ;0;15;15;0;9;9;9;0;1;31000116                                                                                            
HAVAI                                             ;3106200                                                                                             ;30555140            ;EE DOUTOR SIMAO TAMM BIAS FORTES                                                                    ;1                                                                                                   ;0;44;31;19;39;27;17;7;13;31000124                                                                                            
PINDORAMA                                         ;3106200                                                                                             ;30865530            ;EE GUIMARAES ROSA                                                                                   ;1                                                                                                   ;0;32;26;22;31;22;14;8;12;31000132                                                                                            
FUNCIONARIOS                                      ;3106200                                                                                             ;30130060            ;EE PRESIDENTE KENNEDY                                                                               ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31000141                                                                                            
PALMEIRAS                                         ;3106200                                                                                             ;30570740            ;EE MANUEL CASASANTA                                                                                 ;0                                                                                                   ;0;35;0;33;35;26;0;21;7;31000159                                                                                            
MARIA GORETTI                                     ;3106200                                                                                             ;31930540            ;EE MARIA DE LOURDES DE OLIVEIRA                                                                     ;1                                                                                                   ;0;54;28;37;49;38;13;19;19;31000175                                                                                            
FLAVIO MARQUES LISBOA                             ;3106200                                                                                             ;30624160            ;EE DOUTOR AMARO NEVES BARRETO                                                                       ;1                                                                                                   ;0;18;15;0;18;11;7;0;11;31000183                                                                                            
CAICARAS                                          ;3106200                                                                                             ;30775480            ;EE CAIO NELSON DE SENA                                                                              ;1                                                                                                   ;0;26;17;17;25;18;9;9;13;31000191                                                                                            
TUPI                                              ;3106200                                                                                             ;31840000            ;EE PROFESSORA FRANCISCA MALHEIROS                                                                   ;1                                                                                                   ;0;42;28;26;27;29;13;10;5;31000205                                                                                            
SAGRADA FAMILIA                                   ;3106200                                                                                             ;31030220            ;EE HELENA PENA                                                                                      ;1                                                                                                   ;0;26;26;0;12;22;22;0;7;31000213                                                                                            
CARMO SION                                        ;3106200                                                                                             ;30310760            ;EE PRESIDENTE ANTONIO CARLOS                                                                        ;1                                                                                                   ;0;24;18;18;12;12;7;5;1;31000221                                                                                            
SANTA INES                                        ;3106200                                                                                             ;31080180            ;EE MARECHAL DEODORO DA FONSECA                                                                      ;1                                                                                                   ;0;18;18;0;11;16;16;0;9;31000230                                                                                            
RENASCENCA                                        ;3106200                                                                                             ;31150000            ;EE SANTO AFONSO                                                                                     ;0                                                                                                   ;0;29;18;17;25;20;7;9;11;31000248                                                                                            
NOVO INDUSTRIAS                                   ;3106200                                                                                             ;30610270            ;EE JOSE MIGUEL DO NASCIMENTO                                                                        ;1                                                                                                   ;0;32;28;15;23;13;12;1;6;31000256                                                                                            
CENTRO                                            ;3106200                                                                                             ;30130180            ;EE AFONSO PENA                                                                                      ;0                                                                                                   ;0;39;39;0;30;31;31;0;16;31000264                                                                                            
NOSSA SENHORA DO GLORIA                           ;3106200                                                                                             ;30870120            ;EE PADRE JOAO MARIA KOOYMAN                                                                         ;1                                                                                                   ;0;16;16;0;5;8;8;0;2;31000272                                                                                            
HORTO                                             ;3106200                                                                                             ;31035536            ;EE TECNICO INDUSTRIAL PROFESSOR FONTES                                                              ;1                                                                                                   ;0;24;0;17;17;7;0;3;2;31000281                                                                                            
VISTA ALEGRE                                      ;3106200                                                                                             ;30514430            ;EE HERMENEGILDO CHAVES                                                                              ;0                                                                                                   ;0;33;31;0;29;18;15;0;7;31000299                                                                                            
HORTO                                             ;3106200                                                                                             ;31035536            ;EE PRESIDENTE DUTRA                                                                                 ;0                                                                                                   ;0;56;0;56;37;33;0;30;3;31000302                                                                                            
BARREIRO DE BAIXO                                 ;3106200                                                                                             ;30640060            ;EE MARGARIDA BROCHADO                                                                               ;1                                                                                                   ;0;25;15;15;21;16;8;8;6;31000311                                                                                            
CAICARAS                                          ;3106200                                                                                             ;31230070            ;EE SANTOS ANJOS                                                                                     ;0                                                                                                   ;0;27;27;0;16;17;17;0;6;31000329                                                                                            
SAO LUCAS                                         ;3106200                                                                                             ;30240090            ;EE JOSE MENDES JUNIOR                                                                               ;0                                                                                                   ;0;46;46;0;30;30;30;0;13;31000337                                                                                            
PRIMEIRO DE MAIO                                  ;3106200                                                                                             ;31810280            ;EE PROFESSOR HILTON ROCHA                                                                           ;0                                                                                                   ;0;35;0;35;33;17;0;14;7;31000353                                                                                            
DOM BOSCO                                         ;3106200                                                                                             ;30850230            ;EE DOM BOSCO                                                                                        ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31000361                                                                                            
SANTA EFIGENIA                                    ;3106200                                                                                             ;30240390            ;EE HENRIQUE DINIZ                                                                                   ;1                                                                                                   ;0;54;17;44;47;33;6;21;15;31000370                                                                                            
CACHOEIRINHA                                      ;3106200                                                                                             ;31130250            ;EE MARIANO DE ABREU                                                                                 ;0                                                                                                   ;0;12;12;0;6;10;10;0;5;31000396                                                                                            
PRADO                                             ;3106200                                                                                             ;30411084            ;EE SAO BENTO                                                                                        ;1                                                                                                   ;0;28;28;0;11;25;25;0;8;31000400                                                                                            
TUPI                                              ;3106200                                                                                             ;31840050            ;EE PRESIDENTE TANCREDO NEVES                                                                        ;0                                                                                                   ;0;54;24;48;52;47;9;30;24;31000418                                                                                            
BARREIRO DE BAIXO                                 ;3106200                                                                                             ;30640460            ;EE ALBERTO DELPINO                                                                                  ;1                                                                                                   ;0;31;0;31;29;22;0;22;14;31000426                                                                                            
JOAO PINHEIROS                                    ;3106200                                                                                             ;30530310            ;EE CANDIDA CABRAL                                                                                   ;1                                                                                                   ;0;15;0;14;14;8;0;4;3;31000434                                                                                            
BETANIA                                           ;3106200                                                                                             ;30580250            ;EE DOM CABRAL                                                                                       ;0                                                                                                   ;0;46;29;35;40;35;14;18;7;31000442                                                                                            
SANTA MARIA                                       ;3106200                                                                                             ;30525170            ;EE HUGO WERNECK                                                                                     ;1                                                                                                   ;0;23;23;0;11;18;18;0;7;31000451                                                                                            
APARECIDA                                         ;3106200                                                                                             ;31250050            ;EE PRINCESA ISABEL                                                                                  ;0                                                                                                   ;0;56;46;25;48;38;24;9;18;31000469                                                                                            
GLORIA                                            ;3106200                                                                                             ;30830373            ;EE MARIETA BROCHADO                                                                                 ;0                                                                                                   ;0;18;18;0;7;16;16;0;5;31000477                                                                                            
BARRO PRETO                                       ;3106200                                                                                             ;30190002            ;INSTITUTO SAO RAFAEL                                                                                ;1                                                                                                   ;0;8;8;0;8;4;4;0;4;31000485                                                                                            
CACHOEIRINHA                                      ;3106200                                                                                             ;31130080            ;EE DEPUTADO ILACIR PEREIRA LIMA                                                                     ;0                                                                                                   ;0;42;0;40;35;28;0;23;10;31000493                                                                                            
SERRA                                             ;3106200                                                                                             ;30220070            ;EE DULCE PINTO RODRIGUES                                                                            ;0                                                                                                   ;0;8;8;0;2;7;7;0;1;31000507                                                                                            
SALGADO FILHO                                     ;3106200                                                                                             ;30550340            ;EE CANDIDO PORTINARI                                                                                ;1                                                                                                   ;0;35;21;24;33;20;9;8;9;31000515                                                                                            
VILA PARIS                                        ;3106200                                                                                             ;30380640            ;EE DOM JOSE GASPAR                                                                                  ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31000523                                                                                            
ALTO DOS PINHEIROS                                ;3106200                                                                                             ;30530150            ;EE ANEXA A CRECHE ELISA DUQUE CATAO                                                                 ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31000531                                                                                            
SAO FRANCISCO                                     ;3106200                                                                                             ;31255050            ;EE PROFESSOR AFFONSO NEVES                                                                          ;1                                                                                                   ;0;21;14;18;17;14;6;6;4;31000540                                                                                            
NOVA GRANADA                                      ;3106200                                                                                             ;30431320            ;EE MARIO CASASSANTA                                                                                 ;0                                                                                                   ;0;11;11;0;5;9;9;0;2;31000558                                                                                            
GLORIA                                            ;3106200                                                                                             ;30880133            ;EE SAO SALVADOR                                                                                     ;1                                                                                                   ;0;26;26;0;7;13;13;0;6;31000566                                                                                            
ALIPIO DE MELO                                    ;3106200                                                                                             ;30840330            ;EE PROFESSOR ALISSON PEREIRA GUIMARAES                                                              ;1                                                                                                   ;0;49;24;34;45;35;13;19;15;31000582                                                                                            
CARDOSO                                           ;3106200                                                                                             ;30626660            ;EE ALVARO LAUREANO PIMENTEL                                                                         ;1                                                                                                   ;0;43;27;33;40;31;14;14;15;31000591                                                                                            
INDEPENDENCIA                                     ;3106200                                                                                             ;30672200            ;EE DOMINGAS MARIA DE ALMEIDA                                                                        ;0                                                                                                   ;0;76;48;40;43;56;31;18;17;31000604                                                                                            
NOVA CACHOEIRINHA                                 ;3106200                                                                                             ;31250340            ;EE PROFESSOR ALCINDO VIEIRA                                                                         ;1                                                                                                   ;0;23;23;0;5;15;15;0;3;31000621                                                                                            
NOVA SUICA                                        ;3106200                                                                                             ;30421056            ;EE MAURICIO MURGEL                                                                                  ;0                                                                                                   ;0;54;0;53;53;39;0;38;22;31000639                                                                                            
OURO PRETO                                        ;3106200                                                                                             ;31340150            ;EE SARAH KUBITSCHEK ITAMARATI                                                                       ;0                                                                                                   ;0;13;13;0;8;12;12;0;7;31000647                                                                                            
INSTITUTO AGRONOMICO                              ;3106200                                                                                             ;31035480            ;EE DO INSTITUTO AGRONOMICO                                                                          ;0                                                                                                   ;0;19;19;0;13;15;15;0;4;31000655                                                                                            
SALGADO FILHO                                     ;3106200                                                                                             ;30550660            ;EE ALZIRA ALBUQUERQUE MOSQUEIRA                                                                     ;1                                                                                                   ;0;17;17;0;13;9;9;0;4;31000663                                                                                            
EYMARD                                            ;3106200                                                                                             ;31930660            ;EE CARLOS CAMPOS                                                                                    ;0                                                                                                   ;0;15;15;0;8;14;14;0;7;31000671                                                                                            
SERRA                                             ;3106200                                                                                             ;30220270            ;EE DONA ARGENTINA VIANNA CASTELO BRANCO                                                             ;1                                                                                                   ;0;8;0;0;8;4;0;0;4;31000680                                                                                            
SAO GABRIEL                                       ;3106200                                                                                             ;31980470            ;EE PROFESSOR GUILHERME AZEVEDO LAGE                                                                 ;1                                                                                                   ;0;45;0;41;39;34;0;24;14;31000698                                                                                            
SANTA MONICA                                      ;3106200                                                                                             ;31525390            ;EE PROFESSOR BATISTA SANTIAGO                                                                       ;1                                                                                                   ;0;20;20;0;8;18;18;0;6;31000701                                                                                            
CARLOS PRATES                                     ;3106200                                                                                             ;30710440            ;EE MELO VIANA                                                                                       ;1                                                                                                   ;0;23;23;0;23;16;16;0;8;31000710                                                                                            
DA GRACA                                          ;3106200                                                                                             ;31140030            ;EE SARAH KUBITSCHEK BAIRRO GRACA                                                                    ;0                                                                                                   ;0;6;6;0;3;6;6;0;2;31000728                                                                                            
SANTO AGOSTINHO                                   ;3106200                                                                                             ;30170020            ;EE BERENICE MARTINS PRATES                                                                          ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31000736                                                                                            
NOVA SUICA                                        ;3106200                                                                                             ;30550012            ;EE AMELIA JOSEFINA KEESEN                                                                           ;1                                                                                                   ;0;19;19;0;16;16;16;0;7;31000744                                                                                            
BOA VISTA                                         ;3106200                                                                                             ;31060430            ;EE CARLOS GOES                                                                                      ;1                                                                                                   ;0;31;23;22;21;19;13;6;4;31000752                                                                                            
SANTA LUCIA                                       ;3106200                                                                                             ;30350290            ;EE DONA AUGUSTA GONCALVES NOGUEIRA                                                                  ;1                                                                                                   ;0;7;7;0;5;6;6;0;4;31000761                                                                                            
BARRO PRETO                                       ;3106200                                                                                             ;30180101            ;EE PROFESSOR CAETANO AZEREDO                                                                        ;0                                                                                                   ;0;44;23;33;44;31;14;17;15;31000787                                                                                            
TIROL                                             ;3106200                                                                                             ;30662300            ;EE MINISTRO ALFREDO VILHENA VALLADAO                                                                ;1                                                                                                   ;0;20;0;18;18;10;0;6;4;31000795                                                                                            
IPIRANGA                                          ;3106200                                                                                             ;31160130            ;EE SARAH KUBITSCHEK IPIRANGA                                                                        ;0                                                                                                   ;0;19;19;0;11;19;19;0;7;31000809                                                                                            
VILA PARIS                                        ;3106200                                                                                             ;30380640            ;EE MARIA GORETTI                                                                                    ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31000817                                                                                            
SILVEIRA                                          ;3106200                                                                                             ;31140560            ;EE ANA DE CARVALHO SILVEIRA                                                                         ;0                                                                                                   ;0;23;10;18;23;12;4;8;6;31000825                                                                                            
JATOBA                                            ;3106200                                                                                             ;30692020            ;EE CARMO GIFFONI                                                                                    ;0                                                                                                   ;0;55;41;33;47;41;27;14;17;31000833                                                                                            
VALE DO JATOBA                                    ;3106200                                                                                             ;30664480            ;EE DOUTOR AURINO MORAIS                                                                             ;1                                                                                                   ;0;73;36;54;54;49;20;22;12;31000841                                                                                            
VALE DO JATOBA                                    ;3106200                                                                                             ;30662290            ;EE PROFESSOR CLAUDIO BRANDAO                                                                        ;0                                                                                                   ;0;34;0;34;34;36;0;36;13;31000868                                                                                            
ALTO VERA CRUZ                                    ;3106200                                                                                             ;30285160            ;EE NECESIO TAVARES                                                                                  ;0                                                                                                   ;0;10;10;0;6;10;10;0;5;31000876                                                                                            
SAGRADA FAMILIA                                   ;3106200                                                                                             ;31030480            ;EE SARAH KUBITSCHEK SAGRADA FAMILIA                                                                 ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31000884                                                                                            
PARAISO                                           ;3106200                                                                                             ;30270190            ;EE JOAO ALPHONSUS                                                                                   ;1                                                                                                   ;0;35;19;25;28;25;10;12;10;31000892                                                                                            
SANTA EFIGENIA                                    ;3106200                                                                                             ;30150350            ;EE YOLANDA MARTINS SILVA                                                                            ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31000906                                                                                            
SERRANO                                           ;3106200                                                                                             ;30882370            ;EE DOUTOR EUZEBIO DIAS BICALHO                                                                      ;0                                                                                                   ;0;31;31;0;26;22;22;0;10;31000922                                                                                            
JARDIM ALVORADA                                   ;3106200                                                                                             ;30810660            ;EE JORNALISTA JORGE PAES SARDINHA                                                                   ;0                                                                                                   ;0;13;13;0;9;19;19;0;10;31000931                                                                                            
CONJUNTO CALIFORNIA                               ;3106200                                                                                             ;30850760            ;EE PROFESSOR CLOVIS SALGADO                                                                         ;0                                                                                                   ;0;43;35;18;29;24;16;5;11;31000949                                                                                            
JARDIM AMERICA                                    ;3106200                                                                                             ;30421476            ;EE NOSSA SENHORA APARECIDA                                                                          ;1                                                                                                   ;0;28;14;20;21;20;9;11;6;31000957                                                                                            
BOM JESUS                                         ;3106200                                                                                             ;31230450            ;EE SARAH KUBITSCHEK STO ANDRE                                                                       ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31000965                                                                                            
SANTA TEREZA                                      ;3106200                                                                                             ;31010070            ;EE JOSE BONIFACIO                                                                                   ;0                                                                                                   ;0;26;18;22;25;16;7;9;11;31000973                                                                                            
MADRE GERTRUDES                                   ;3106200                                                                                             ;30512780            ;ORGANIZACAO EDUCACIONAL JOAO XXIII - AMPC                                                           ;0                                                                                                   ;0;18;0;0;0;18;0;0;0;31000981                                                                                            
TEIXEIRA DIAS                                     ;3106200                                                                                             ;30644220            ;EE CECILIA MEIRELES                                                                                 ;0                                                                                                   ;0;46;31;29;40;33;19;11;15;31000990                                                                                            
MINASLANDIA                                       ;3106200                                                                                             ;31810390            ;EE DE EDUCACAO ESPECIAL DOUTOR JOAO MOREIRA SALLES                                                  ;1                                                                                                   ;0;13;2;0;13;7;1;0;7;31001007                                                                                            
