no_bairro;co_municipio;co_cep;no_entidade;in_internet_alunos;qt_prof_assist_social;qt_doc_bas;qt_doc_fund;qt_doc_med;qt_doc_esp;qt_tur_bas;qt_tur_fund;qt_tur_med;qt_tur_esp;co_entidade
CALIFORNIA                                        ;3106200                                                                                             ;30855440            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CALIFORNIA II                                                 ;0                                                                                                   ;0;25;0;0;3;12;0;0;2;31366080                                                                                            
OURO PRETO                                        ;3106200                                                                                             ;31320110            ;INSTITUTO INFANTIL AMBJA II                                                                         ;0                                                                                                   ;0;5;0;0;1;5;0;0;1;31366099                                                                                            
LUXEMBURGO                                        ;3106200                                                                                             ;30380342            ;TIC TAC TOE EDUCACAO INFANTIL                                                                       ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31366315                                                                                            
PRADO                                             ;3106200                                                                                             ;30411148            ;CANTINHO DO SABER                                                                                   ;0                                                                                                   ;0;6;0;0;0;6;0;0;0;31366374                                                                                            
SAO LUIZ                                          ;3106200                                                                                             ;31365450            ;NUCLEO PSICOPEDAGOGICO DA CRIANCA                                                                   ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31366439                                                                                            
;3106200                                                                                             ;31640007            ;CEP VENDA NOVA                                                                                      ;1                                                                                                   ;0;33;0;0;5;43;0;0;2;31366781                                                                                            
BARRO PRETO                                       ;3106200                                                                                             ;30190130            ;CENTEC - CENTRO DE ENSINO TECNICO DE TRANSITO                                                       ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31366994                                                                                            
SANTA TEREZINHA                                   ;3106200                                                                                             ;31360140            ;INSTITUTO BATISTA ITATIAIA                                                                          ;0                                                                                                   ;0;10;0;0;1;10;0;0;1;31367087                                                                                            
CENTRO                                            ;3106200                                                                                             ;30120080            ;SENAI BELO HORIZONTE FACULDADE DE TECNOLOGIA                                                        ;1                                                                                                   ;0;12;0;0;0;14;0;0;0;31367222                                                                                            
VENDA NOVA                                        ;3106200                                                                                             ;31610000            ;ESCOLA ESTACIO                                                                                      ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31367290                                                                                            
